1024x1024 bmm transpose 2,,,
elapsed time,power,no of threads,
1024 1 thread done,,,
1.44,2,2, block size is 4
2.85,3,2, block size is 4
4.26,4,2, block size is 4
5.68,5,2, block size is 4
7.09,6,2, block size is 4
8.5,7,2, block size is 4
9.92,8,2, block size is 4
11.34,9,2, block size is 4
12.75,10,2, block size is 4
14.16,11,2, block size is 4
15.57,12,2, block size is 4
16.98,13,2, block size is 4
18.39,14,2, block size is 4
19.82,15,2, block size is 4
21.23,16,2, block size is 4
22.49,2,2, block size is 8
23.75,3,2, block size is 8
25.01,4,2, block size is 8
26.27,5,2, block size is 8
27.53,6,2, block size is 8
28.79,7,2, block size is 8
30.04,8,2, block size is 8
31.3,9,2, block size is 8
32.56,10,2, block size is 8
33.82,11,2, block size is 8
35.07,12,2, block size is 8
36.33,13,2, block size is 8
37.59,14,2, block size is 8
38.85,15,2, block size is 8
40.11,16,2, block size is 8
41.29,2,2, block size is 16
42.48,3,2, block size is 16
43.67,4,2, block size is 16
44.85,5,2, block size is 16
46.04,6,2, block size is 16
47.23,7,2, block size is 16
48.41,8,2, block size is 16
49.6,9,2, block size is 16
50.79,10,2, block size is 16
51.97,11,2, block size is 16
53.16,12,2, block size is 16
54.35,13,2, block size is 16
55.54,14,2, block size is 16
56.73,15,2, block size is 16
57.91,16,2, block size is 16
59.11,2,2, block size is 32
60.3,3,2, block size is 32
61.5,4,2, block size is 32
62.69,5,2, block size is 32
63.89,6,2, block size is 32
65.08,7,2, block size is 32
66.28,8,2, block size is 32
67.47,9,2, block size is 32
68.67,10,2, block size is 32
69.87,11,2, block size is 32
71.06,12,2, block size is 32
72.25,13,2, block size is 32
73.45,14,2, block size is 32
74.64,15,2, block size is 32
75.84,16,2, block size is 32
77.02,2,2, block size is 64
78.21,3,2, block size is 64
79.4,4,2, block size is 64
80.58,5,2, block size is 64
81.77,6,2, block size is 64
82.96,7,2, block size is 64
84.14,8,2, block size is 64
85.33,9,2, block size is 64
86.52,10,2, block size is 64
87.7,11,2, block size is 64
88.89,12,2, block size is 64
90.08,13,2, block size is 64
91.26,14,2, block size is 64
92.45,15,2, block size is 64
93.63,16,2, block size is 64
1024 2 thread done,,,
0.76,2,4, block size is 4
1.48,3,4, block size is 4
2.21,4,4, block size is 4
2.94,5,4, block size is 4
3.67,6,4, block size is 4
4.39,7,4, block size is 4
5.12,8,4, block size is 4
5.85,9,4, block size is 4
6.58,10,4, block size is 4
7.3,11,4, block size is 4
8.03,12,4, block size is 4
8.76,13,4, block size is 4
9.48,14,4, block size is 4
10.21,15,4, block size is 4
10.94,16,4, block size is 4
11.58,2,4, block size is 8
12.22,3,4, block size is 8
12.87,4,4, block size is 8
13.51,5,4, block size is 8
14.15,6,4, block size is 8
14.8,7,4, block size is 8
15.44,8,4, block size is 8
16.08,9,4, block size is 8
16.73,10,4, block size is 8
17.37,11,4, block size is 8
18.02,12,4, block size is 8
18.66,13,4, block size is 8
19.31,14,4, block size is 8
19.95,15,4, block size is 8
20.6,16,4, block size is 8
21.21,2,4, block size is 16
21.81,3,4, block size is 16
22.42,4,4, block size is 16
23.03,5,4, block size is 16
23.63,6,4, block size is 16
24.24,7,4, block size is 16
24.85,8,4, block size is 16
25.46,9,4, block size is 16
26.06,10,4, block size is 16
26.67,11,4, block size is 16
27.28,12,4, block size is 16
27.88,13,4, block size is 16
28.49,14,4, block size is 16
29.1,15,4, block size is 16
29.7,16,4, block size is 16
30.32,2,4, block size is 32
30.93,3,4, block size is 32
31.54,4,4, block size is 32
32.15,5,4, block size is 32
32.76,6,4, block size is 32
33.37,7,4, block size is 32
33.99,8,4, block size is 32
34.6,9,4, block size is 32
35.21,10,4, block size is 32
35.82,11,4, block size is 32
36.44,12,4, block size is 32
37.05,13,4, block size is 32
37.66,14,4, block size is 32
38.27,15,4, block size is 32
38.88,16,4, block size is 32
39.49,2,4, block size is 64
40.09,3,4, block size is 64
40.7,4,4, block size is 64
41.31,5,4, block size is 64
41.91,6,4, block size is 64
42.52,7,4, block size is 64
43.13,8,4, block size is 64
elapsed time = 43.73 | seconds power is 9 | number of threads is 4 | block size is 64,,,
elapsed time = 44.34 | seconds power is 10 | number of threads is 4 | block size is 64,,,
elapsed time = 44.95 | seconds power is 11 | number of threads is 4 | block size is 64,,,
elapsed time = 45.55 | seconds power is 12 | number of threads is 4 | block size is 64,,,
elapsed time = 46.16 | seconds power is 13 | number of threads is 4 | block size is 64,,,
elapsed time = 46.77 | seconds power is 14 | number of threads is 4 | block size is 64,,,
elapsed time = 47.37 | seconds power is 15 | number of threads is 4 | block size is 64,,,
elapsed time = 47.98 | seconds power is 16 | number of threads is 4 | block size is 64,,,
1024 4 thread done,,,
elapsed time = 0.54 | seconds power is 2 | number of threads is 6 | block size is 4,,,
elapsed time = 1.07 | seconds power is 3 | number of threads is 6 | block size is 4,,,
elapsed time = 1.63 | seconds power is 4 | number of threads is 6 | block size is 4,,,
elapsed time = 2.19 | seconds power is 5 | number of threads is 6 | block size is 4,,,
elapsed time = 2.74 | seconds power is 6 | number of threads is 6 | block size is 4,,,
elapsed time = 3.30 | seconds power is 7 | number of threads is 6 | block size is 4,,,
elapsed time = 3.85 | seconds power is 8 | number of threads is 6 | block size is 4,,,
elapsed time = 4.40 | seconds power is 9 | number of threads is 6 | block size is 4,,,
elapsed time = 4.95 | seconds power is 10 | number of threads is 6 | block size is 4,,,
elapsed time = 5.51 | seconds power is 11 | number of threads is 6 | block size is 4,,,
elapsed time = 6.07 | seconds power is 12 | number of threads is 6 | block size is 4,,,
elapsed time = 6.62 | seconds power is 13 | number of threads is 6 | block size is 4,,,
elapsed time = 7.17 | seconds power is 14 | number of threads is 6 | block size is 4,,,
elapsed time = 7.73 | seconds power is 15 | number of threads is 6 | block size is 4,,,
elapsed time = 8.28 | seconds power is 16 | number of threads is 6 | block size is 4,,,
elapsed time = 8.78 | seconds power is 2 | number of threads is 6 | block size is 8,,,
elapsed time = 9.28 | seconds power is 3 | number of threads is 6 | block size is 8,,,
elapsed time = 9.78 | seconds power is 4 | number of threads is 6 | block size is 8,,,
elapsed time = 10.29 | seconds power is 5 | number of threads is 6 | block size is 8,,,
elapsed time = 10.79 | seconds power is 6 | number of threads is 6 | block size is 8,,,
elapsed time = 11.29 | seconds power is 7 | number of threads is 6 | block size is 8,,,
elapsed time = 11.80 | seconds power is 8 | number of threads is 6 | block size is 8,,,
elapsed time = 12.30 | seconds power is 9 | number of threads is 6 | block size is 8,,,
elapsed time = 12.80 | seconds power is 10 | number of threads is 6 | block size is 8,,,
elapsed time = 13.30 | seconds power is 11 | number of threads is 6 | block size is 8,,,
elapsed time = 13.80 | seconds power is 12 | number of threads is 6 | block size is 8,,,
elapsed time = 14.30 | seconds power is 13 | number of threads is 6 | block size is 8,,,
elapsed time = 14.80 | seconds power is 14 | number of threads is 6 | block size is 8,,,
elapsed time = 15.31 | seconds power is 15 | number of threads is 6 | block size is 8,,,
elapsed time = 15.81 | seconds power is 16 | number of threads is 6 | block size is 8,,,
elapsed time = 16.29 | seconds power is 2 | number of threads is 6 | block size is 16,,,
elapsed time = 16.77 | seconds power is 3 | number of threads is 6 | block size is 16,,,
elapsed time = 17.25 | seconds power is 4 | number of threads is 6 | block size is 16,,,
elapsed time = 17.73 | seconds power is 5 | number of threads is 6 | block size is 16,,,
elapsed time = 18.21 | seconds power is 6 | number of threads is 6 | block size is 16,,,
elapsed time = 18.69 | seconds power is 7 | number of threads is 6 | block size is 16,,,
elapsed time = 19.17 | seconds power is 8 | number of threads is 6 | block size is 16,,,
elapsed time = 19.65 | seconds power is 9 | number of threads is 6 | block size is 16,,,
elapsed time = 20.13 | seconds power is 10 | number of threads is 6 | block size is 16,,,
elapsed time = 20.61 | seconds power is 11 | number of threads is 6 | block size is 16,,,
elapsed time = 21.09 | seconds power is 12 | number of threads is 6 | block size is 16,,,
elapsed time = 21.57 | seconds power is 13 | number of threads is 6 | block size is 16,,,
elapsed time = 22.05 | seconds power is 14 | number of threads is 6 | block size is 16,,,
elapsed time = 22.53 | seconds power is 15 | number of threads is 6 | block size is 16,,,
elapsed time = 23.01 | seconds power is 16 | number of threads is 6 | block size is 16,,,
elapsed time = 23.52 | seconds power is 2 | number of threads is 6 | block size is 32,,,
elapsed time = 24.02 | seconds power is 3 | number of threads is 6 | block size is 32,,,
elapsed time = 24.52 | seconds power is 4 | number of threads is 6 | block size is 32,,,
elapsed time = 25.02 | seconds power is 5 | number of threads is 6 | block size is 32,,,
elapsed time = 25.52 | seconds power is 6 | number of threads is 6 | block size is 32,,,
elapsed time = 26.02 | seconds power is 7 | number of threads is 6 | block size is 32,,,
elapsed time = 26.52 | seconds power is 8 | number of threads is 6 | block size is 32,,,
elapsed time = 27.03 | seconds power is 9 | number of threads is 6 | block size is 32,,,
elapsed time = 27.53 | seconds power is 10 | number of threads is 6 | block size is 32,,,
elapsed time = 28.03 | seconds power is 11 | number of threads is 6 | block size is 32,,,
elapsed time = 28.53 | seconds power is 12 | number of threads is 6 | block size is 32,,,
elapsed time = 29.03 | seconds power is 13 | number of threads is 6 | block size is 32,,,
elapsed time = 29.53 | seconds power is 14 | number of threads is 6 | block size is 32,,,
elapsed time = 30.03 | seconds power is 15 | number of threads is 6 | block size is 32,,,
elapsed time = 30.53 | seconds power is 16 | number of threads is 6 | block size is 32,,,
elapsed time = 31.02 | seconds power is 2 | number of threads is 6 | block size is 64,,,
elapsed time = 31.52 | seconds power is 3 | number of threads is 6 | block size is 64,,,
elapsed time = 32.03 | seconds power is 4 | number of threads is 6 | block size is 64,,,
elapsed time = 32.55 | seconds power is 5 | number of threads is 6 | block size is 64,,,
elapsed time = 33.04 | seconds power is 6 | number of threads is 6 | block size is 64,,,
elapsed time = 33.54 | seconds power is 7 | number of threads is 6 | block size is 64,,,
elapsed time = 34.05 | seconds power is 8 | number of threads is 6 | block size is 64,,,
elapsed time = 34.55 | seconds power is 9 | number of threads is 6 | block size is 64,,,
elapsed time = 35.05 | seconds power is 10 | number of threads is 6 | block size is 64,,,
elapsed time = 35.57 | seconds power is 11 | number of threads is 6 | block size is 64,,,
elapsed time = 36.07 | seconds power is 12 | number of threads is 6 | block size is 64,,,
elapsed time = 36.57 | seconds power is 13 | number of threads is 6 | block size is 64,,,
elapsed time = 37.07 | seconds power is 14 | number of threads is 6 | block size is 64,,,
elapsed time = 37.57 | seconds power is 15 | number of threads is 6 | block size is 64,,,
elapsed time = 38.06 | seconds power is 16 | number of threads is 6 | block size is 64,,,
1024 6 thread done,,,
elapsed time = 0.48 | seconds power is 2 | number of threads is 8 | block size is 4,,,
elapsed time = 0.95 | seconds power is 3 | number of threads is 8 | block size is 4,,,
elapsed time = 1.42 | seconds power is 4 | number of threads is 8 | block size is 4,,,
elapsed time = 1.88 | seconds power is 5 | number of threads is 8 | block size is 4,,,
elapsed time = 2.35 | seconds power is 6 | number of threads is 8 | block size is 4,,,
elapsed time = 2.82 | seconds power is 7 | number of threads is 8 | block size is 4,,,
elapsed time = 3.29 | seconds power is 8 | number of threads is 8 | block size is 4,,,
elapsed time = 3.76 | seconds power is 9 | number of threads is 8 | block size is 4,,,
elapsed time = 4.22 | seconds power is 10 | number of threads is 8 | block size is 4,,,
elapsed time = 4.69 | seconds power is 11 | number of threads is 8 | block size is 4,,,
elapsed time = 5.16 | seconds power is 12 | number of threads is 8 | block size is 4,,,
elapsed time = 5.64 | seconds power is 13 | number of threads is 8 | block size is 4,,,
elapsed time = 6.10 | seconds power is 14 | number of threads is 8 | block size is 4,,,
elapsed time = 6.57 | seconds power is 15 | number of threads is 8 | block size is 4,,,
elapsed time = 7.04 | seconds power is 16 | number of threads is 8 | block size is 4,,,
elapsed time = 7.45 | seconds power is 2 | number of threads is 8 | block size is 8,,,
elapsed time = 7.87 | seconds power is 3 | number of threads is 8 | block size is 8,,,
elapsed time = 8.28 | seconds power is 4 | number of threads is 8 | block size is 8,,,
elapsed time = 8.69 | seconds power is 5 | number of threads is 8 | block size is 8,,,
elapsed time = 9.10 | seconds power is 6 | number of threads is 8 | block size is 8,,,
elapsed time = 9.52 | seconds power is 7 | number of threads is 8 | block size is 8,,,
elapsed time = 9.93 | seconds power is 8 | number of threads is 8 | block size is 8,,,
elapsed time = 10.34 | seconds power is 9 | number of threads is 8 | block size is 8,,,
elapsed time = 10.76 | seconds power is 10 | number of threads is 8 | block size is 8,,,
elapsed time = 11.17 | seconds power is 11 | number of threads is 8 | block size is 8,,,
elapsed time = 11.58 | seconds power is 12 | number of threads is 8 | block size is 8,,,
elapsed time = 12.00 | seconds power is 13 | number of threads is 8 | block size is 8,,,
elapsed time = 12.41 | seconds power is 14 | number of threads is 8 | block size is 8,,,
elapsed time = 12.82 | seconds power is 15 | number of threads is 8 | block size is 8,,,
elapsed time = 13.24 | seconds power is 16 | number of threads is 8 | block size is 8,,,
elapsed time = 13.63 | seconds power is 2 | number of threads is 8 | block size is 16,,,
elapsed time = 14.02 | seconds power is 3 | number of threads is 8 | block size is 16,,,
elapsed time = 14.41 | seconds power is 4 | number of threads is 8 | block size is 16,,,
elapsed time = 14.80 | seconds power is 5 | number of threads is 8 | block size is 16,,,
elapsed time = 15.19 | seconds power is 6 | number of threads is 8 | block size is 16,,,
elapsed time = 15.58 | seconds power is 7 | number of threads is 8 | block size is 16,,,
elapsed time = 15.98 | seconds power is 8 | number of threads is 8 | block size is 16,,,
elapsed time = 16.37 | seconds power is 9 | number of threads is 8 | block size is 16,,,
elapsed time = 16.76 | seconds power is 10 | number of threads is 8 | block size is 16,,,
elapsed time = 17.15 | seconds power is 11 | number of threads is 8 | block size is 16,,,
elapsed time = 17.54 | seconds power is 12 | number of threads is 8 | block size is 16,,,
elapsed time = 17.93 | seconds power is 13 | number of threads is 8 | block size is 16,,,
elapsed time = 18.32 | seconds power is 14 | number of threads is 8 | block size is 16,,,
elapsed time = 18.72 | seconds power is 15 | number of threads is 8 | block size is 16,,,
elapsed time = 19.11 | seconds power is 16 | number of threads is 8 | block size is 16,,,
elapsed time = 19.50 | seconds power is 2 | number of threads is 8 | block size is 32,,,
elapsed time = 19.89 | seconds power is 3 | number of threads is 8 | block size is 32,,,
elapsed time = 20.27 | seconds power is 4 | number of threads is 8 | block size is 32,,,
elapsed time = 20.66 | seconds power is 5 | number of threads is 8 | block size is 32,,,
elapsed time = 21.05 | seconds power is 6 | number of threads is 8 | block size is 32,,,
elapsed time = 21.44 | seconds power is 7 | number of threads is 8 | block size is 32,,,
elapsed time = 21.83 | seconds power is 8 | number of threads is 8 | block size is 32,,,
elapsed time = 22.22 | seconds power is 9 | number of threads is 8 | block size is 32,,,
elapsed time = 22.61 | seconds power is 10 | number of threads is 8 | block size is 32,,,
elapsed time = 23.00 | seconds power is 11 | number of threads is 8 | block size is 32,,,
elapsed time = 23.39 | seconds power is 12 | number of threads is 8 | block size is 32,,,
elapsed time = 23.77 | seconds power is 13 | number of threads is 8 | block size is 32,,,
elapsed time = 24.16 | seconds power is 14 | number of threads is 8 | block size is 32,,,
elapsed time = 24.55 | seconds power is 15 | number of threads is 8 | block size is 32,,,
elapsed time = 24.94 | seconds power is 16 | number of threads is 8 | block size is 32,,,
elapsed time = 25.33 | seconds power is 2 | number of threads is 8 | block size is 64,,,
elapsed time = 25.71 | seconds power is 3 | number of threads is 8 | block size is 64,,,
elapsed time = 26.10 | seconds power is 4 | number of threads is 8 | block size is 64,,,
elapsed time = 26.48 | seconds power is 5 | number of threads is 8 | block size is 64,,,
elapsed time = 26.87 | seconds power is 6 | number of threads is 8 | block size is 64,,,
elapsed time = 27.26 | seconds power is 7 | number of threads is 8 | block size is 64,,,
elapsed time = 27.64 | seconds power is 8 | number of threads is 8 | block size is 64,,,
elapsed time = 28.03 | seconds power is 9 | number of threads is 8 | block size is 64,,,
elapsed time = 28.41 | seconds power is 10 | number of threads is 8 | block size is 64,,,
elapsed time = 28.80 | seconds power is 11 | number of threads is 8 | block size is 64,,,
elapsed time = 29.18 | seconds power is 12 | number of threads is 8 | block size is 64,,,
elapsed time = 29.57 | seconds power is 13 | number of threads is 8 | block size is 64,,,
elapsed time = 29.95 | seconds power is 14 | number of threads is 8 | block size is 64,,,
elapsed time = 30.34 | seconds power is 15 | number of threads is 8 | block size is 64,,,
elapsed time = 30.72 | seconds power is 16 | number of threads is 8 | block size is 64,,,
1024 8 thread done,,,
elapsed time = 0.51 | seconds power is 2 | number of threads is 10 | block size is 4,,,
elapsed time = 0.99 | seconds power is 3 | number of threads is 10 | block size is 4,,,
elapsed time = 1.48 | seconds power is 4 | number of threads is 10 | block size is 4,,,
elapsed time = 1.97 | seconds power is 5 | number of threads is 10 | block size is 4,,,
elapsed time = 2.46 | seconds power is 6 | number of threads is 10 | block size is 4,,,
elapsed time = 2.94 | seconds power is 7 | number of threads is 10 | block size is 4,,,
elapsed time = 3.43 | seconds power is 8 | number of threads is 10 | block size is 4,,,
elapsed time = 3.91 | seconds power is 9 | number of threads is 10 | block size is 4,,,
elapsed time = 4.42 | seconds power is 10 | number of threads is 10 | block size is 4,,,
elapsed time = 4.92 | seconds power is 11 | number of threads is 10 | block size is 4,,,
elapsed time = 5.41 | seconds power is 12 | number of threads is 10 | block size is 4,,,
elapsed time = 5.90 | seconds power is 13 | number of threads is 10 | block size is 4,,,
elapsed time = 6.38 | seconds power is 14 | number of threads is 10 | block size is 4,,,
elapsed time = 6.90 | seconds power is 15 | number of threads is 10 | block size is 4,,,
elapsed time = 7.38 | seconds power is 16 | number of threads is 10 | block size is 4,,,
elapsed time = 7.81 | seconds power is 2 | number of threads is 10 | block size is 8,,,
elapsed time = 8.24 | seconds power is 3 | number of threads is 10 | block size is 8,,,
elapsed time = 8.68 | seconds power is 4 | number of threads is 10 | block size is 8,,,
elapsed time = 9.10 | seconds power is 5 | number of threads is 10 | block size is 8,,,
elapsed time = 9.53 | seconds power is 6 | number of threads is 10 | block size is 8,,,
elapsed time = 9.96 | seconds power is 7 | number of threads is 10 | block size is 8,,,
elapsed time = 10.40 | seconds power is 8 | number of threads is 10 | block size is 8,,,
elapsed time = 10.83 | seconds power is 9 | number of threads is 10 | block size is 8,,,
elapsed time = 11.25 | seconds power is 10 | number of threads is 10 | block size is 8,,,
elapsed time = 11.68 | seconds power is 11 | number of threads is 10 | block size is 8,,,
elapsed time = 12.12 | seconds power is 12 | number of threads is 10 | block size is 8,,,
elapsed time = 12.56 | seconds power is 13 | number of threads is 10 | block size is 8,,,
elapsed time = 12.99 | seconds power is 14 | number of threads is 10 | block size is 8,,,
elapsed time = 13.42 | seconds power is 15 | number of threads is 10 | block size is 8,,,
elapsed time = 13.85 | seconds power is 16 | number of threads is 10 | block size is 8,,,
elapsed time = 14.27 | seconds power is 2 | number of threads is 10 | block size is 16,,,
elapsed time = 14.69 | seconds power is 3 | number of threads is 10 | block size is 16,,,
elapsed time = 15.12 | seconds power is 4 | number of threads is 10 | block size is 16,,,
elapsed time = 15.55 | seconds power is 5 | number of threads is 10 | block size is 16,,,
elapsed time = 15.97 | seconds power is 6 | number of threads is 10 | block size is 16,,,
elapsed time = 16.40 | seconds power is 7 | number of threads is 10 | block size is 16,,,
elapsed time = 16.82 | seconds power is 8 | number of threads is 10 | block size is 16,,,
elapsed time = 17.24 | seconds power is 9 | number of threads is 10 | block size is 16,,,
elapsed time = 17.62 | seconds power is 10 | number of threads is 10 | block size is 16,,,
elapsed time = 18.05 | seconds power is 11 | number of threads is 10 | block size is 16,,,
elapsed time = 18.44 | seconds power is 12 | number of threads is 10 | block size is 16,,,
elapsed time = 18.92 | seconds power is 13 | number of threads is 10 | block size is 16,,,
elapsed time = 19.33 | seconds power is 14 | number of threads is 10 | block size is 16,,,
elapsed time = 19.75 | seconds power is 15 | number of threads is 10 | block size is 16,,,
elapsed time = 20.20 | seconds power is 16 | number of threads is 10 | block size is 16,,,
elapsed time = 20.67 | seconds power is 2 | number of threads is 10 | block size is 32,,,
elapsed time = 21.10 | seconds power is 3 | number of threads is 10 | block size is 32,,,
elapsed time = 21.49 | seconds power is 4 | number of threads is 10 | block size is 32,,,
elapsed time = 21.94 | seconds power is 5 | number of threads is 10 | block size is 32,,,
